MutationType	ID83A	ID83B
1:Del:C:0	0.05448732	0.03389012
1:Del:C:1	0.04802064	0.01762601
1:Del:C:2	0.03683595	0.00790333
1:Del:C:3	0.01270003	0.00208922
1:Del:C:4	0.00810259	0.01756903
1:Del:C:5	0.00620625	0.07794410
1:Del:T:0	0.07716467	0.03734870
1:Del:T:1	0.02221041	0.01064859
1:Del:T:2	0.02388500	0.00481372
1:Del:T:3	0.00868515	0.01188873
1:Del:T:4	0.00549441	0.01575615
1:Del:T:5	0.05131292	0.14280147
1:Ins:C:0	0.00823686	0.00561169
1:Ins:C:1	0.00366727	0.01774836
1:Ins:C:2	0.00782353	0.01218519
1:Ins:C:3	0.00351628	0.00444383
1:Ins:C:4	0.00083531	0.00681211
1:Ins:C:5	0.02079616	0.05972862
1:Ins:T:0	0.00242459	0.01009233
1:Ins:T:1	0.00999865	0.02542926
1:Ins:T:2	0.00883108	0.00279205
1:Ins:T:3	0.00000176	0.00000301
1:Ins:T:4	0.00024679	0.00138145
1:Ins:T:5	0.03869625	0.13642700
2:Del:R:0	0.01337235	0.01177560
2:Del:R:1	0.02405737	0.01282575
2:Del:R:2	0.00870757	0.00223935
2:Del:R:3	0.00928243	0.00034439
2:Del:R:4	0.00216446	0.00430807
2:Del:R:5	0.00871232	0.02337877
3:Del:R:0	0.02854492	0.00000034
3:Del:R:1	0.02529560	0.00345317
3:Del:R:2	0.00503619	0.00852836
3:Del:R:3	0.01537832	0.02761247
3:Del:R:4	0.00795808	0.03798769
3:Del:R:5	0.00266984	0.00226623
4:Del:R:0	0.00968649	0.00000216
4:Del:R:1	0.00637978	0.00074888
4:Del:R:2	0.00071610	0.00122492
4:Del:R:3	0.00000176	0.00000301
4:Del:R:4	0.00000176	0.00000301
4:Del:R:5	0.00000176	0.00000301
5:Del:R:0	0.06120515	0.03096033
5:Del:R:1	0.00585360	0.01442457
5:Del:R:2	0.01969456	0.00316617
5:Del:R:3	0.00039709	0.00076430
5:Del:R:4	0.00000176	0.00000301
5:Del:R:5	0.00000176	0.00000301
2:Ins:R:0	0.00634192	0.00064445
2:Ins:R:1	0.00656729	0.00113947
2:Ins:R:2	0.00081899	0.00027827
2:Ins:R:3	0.00217197	0.00223850
2:Ins:R:4	0.00097361	0.00016908
2:Ins:R:5	0.00073618	0.00000423
3:Ins:R:0	0.00574915	0.00357623
3:Ins:R:1	0.00126347	0.00253328
3:Ins:R:2	0.00353878	0.00016899
3:Ins:R:3	0.00084145	0.00014324
3:Ins:R:4	0.00219847	0.00030020
3:Ins:R:5	0.00000176	0.00000301
4:Ins:R:0	0.00610215	0.00152379
4:Ins:R:1	0.00102714	0.00392288
4:Ins:R:2	0.00094545	0.00028440
4:Ins:R:3	0.00167094	0.00069549
4:Ins:R:4	0.00000176	0.00000301
4:Ins:R:5	0.00000176	0.00000301
5:Ins:R:0	0.02125061	0.00760063
5:Ins:R:1	0.00420030	0.04325035
5:Ins:R:2	0.00339767	0.00048789
5:Ins:R:3	0.00000176	0.00000301
5:Ins:R:4	0.00000176	0.00000301
5:Ins:R:5	0.00000176	0.00000301
2:Del:M:1	0.01792507	0.01865983
3:Del:M:1	0.00460917	0.01210429
3:Del:M:2	0.00705386	0.01236285
4:Del:M:1	0.00449967	0.00223718
4:Del:M:2	0.00395650	0.00243582
4:Del:M:3	0.00802365	0.00158981
5:Del:M:1	0.07166737	0.01261481
5:Del:M:2	0.05114054	0.00737794
5:Del:M:3	0.01934394	0.00207186
5:Del:M:4	0.00358819	0.00302172
5:Del:M:5	0.02308499	0.00758377
